SENTENCE,COMMAND
tim kiem,SEARCH
tim kiem san pham,SEARCH
tim kiem trai cay,SEARCH
tim kiem hoa qua,SEARCH
tra cuu san pham,SEARCH
tra cuu trai cay,SEARCH
tra cuu hoa qua,SEARCH
tim san pham,SEARCH
tra cuu,SEARCH
tra cuu san pham ma qr,SEARCH
tra cuu san pham ma 15021034,SEARCH
tim san pham ma 15021666,SEARCH
tra cuu san pham ma 15021034,SEARCH
tim sp,SEARCH
tra cuu sp,SEARCH
tim kiem sp,SEARCH
tra san pham,SEARCH
ma sp 1502345,SEARCH
ma san pham 15013453,SEARCH
san pham 1520356,SEARCH
san pham noi bat,FEATURED_PRODUCTS
sp noi bat,FEATURED_PRODUCTS
san pham hay,FEATURED_PRODUCTS
sp hay,FEATURED_PRODUCTS
san pham thu vi,FEATURED_PRODUCTS
sp thu vi,FEATURED_PRODUCTS
mat hang noi bat,FEATURED_PRODUCTS
cac san pham noi bat,FEATURED_PRODUCTS
goi y san pham,RECOMMENDATION
goi y,RECOMMENDATION
de xuat san pham,RECOMMENDATION
goi y sp,RECOMMENDATION
de xuat sp,RECOMMENDATION
san pham khuyen nghi,RECOMMENDATION
dai ly gan nhat,NEAREST_TERMINAL
cac dai ly gan nhat,NEAREST_TERMINAL
cua hang gan nhat,NEAREST_TERMINAL
cua hang gan day,NEAREST_TERMINAL
cua hang gan,NEAREST_TERMINAL
cua hang gan nhat o dau,NEAREST_TERMINAL
tim cua hang gan nhat,NEAREST_TERMINAL
tim dai ly gan nhat,NEAREST_TERMINAL
dai ly gan day,NEAREST_TERMINAL
dai ly gan toi,NEAREST_TERMINAL
tim cua hang,NEAREST_TERMINAL
cua hang,NEAREST_TERMINAL
tim kiem,SEARCH
tim kiem san pham,SEARCH
tim kiem trai cay,SEARCH
tim kiem hoa qua,SEARCH
tra cuu san pham,SEARCH
tra cuu trai cay,SEARCH
tra cuu hoa qua,SEARCH
tim san pham,SEARCH
tra cuu,SEARCH
tra cuu san pham ma qr,SEARCH
tra cuu san pham ma 15021034,SEARCH
tim san pham ma 15021666,SEARCH
tra cuu san pham ma 15021034,SEARCH
tim sp,SEARCH
tra cuu sp,SEARCH
tim kiem sp,SEARCH
tra san pham,SEARCH
ma sp 1502345,SEARCH
ma san pham 15013453,SEARCH
san pham 1520356,SEARCH
san pham noi bat,FEATURED_PRODUCTS
sp noi bat,FEATURED_PRODUCTS
san pham hay,FEATURED_PRODUCTS
sp hay,FEATURED_PRODUCTS
san pham thu vi,FEATURED_PRODUCTS
sp thu vi,FEATURED_PRODUCTS
mat hang noi bat,FEATURED_PRODUCTS
cac san pham noi bat,FEATURED_PRODUCTS
goi y san pham,RECOMMENDATION
goi y,RECOMMENDATION
de xuat san pham,RECOMMENDATION
goi y sp,RECOMMENDATION
de xuat sp,RECOMMENDATION
san pham khuyen nghi,RECOMMENDATION
dai ly gan nhat,NEAREST_TERMINAL
cac dai ly gan nhat,NEAREST_TERMINAL
cua hang gan nhat,NEAREST_TERMINAL
cua hang gan day,NEAREST_TERMINAL
cua hang gan,NEAREST_TERMINAL
cua hang gan nhat o dau,NEAREST_TERMINAL
tim cua hang gan nhat,NEAREST_TERMINAL
tim dai ly gan nhat,NEAREST_TERMINAL
dai ly gan day,NEAREST_TERMINAL
dai ly gan toi,NEAREST_TERMINAL
tim cua hang,NEAREST_TERMINAL
cua hang,NEAREST_TERMINAL
tim kiem,SEARCH
tim kiem san pham,SEARCH
tim kiem trai cay,SEARCH
tim kiem hoa qua,SEARCH
tra cuu san pham,SEARCH
tra cuu trai cay,SEARCH
tra cuu hoa qua,SEARCH
tim san pham,SEARCH
tra cuu,SEARCH
tra cuu san pham ma qr,SEARCH
tra cuu san pham ma 15021034,SEARCH
tim san pham ma 15021666,SEARCH
tra cuu san pham ma 15021034,SEARCH
tim sp,SEARCH
tra cuu sp,SEARCH
tim kiem sp,SEARCH
tra san pham,SEARCH
ma sp 1502345,SEARCH
ma san pham 15013453,SEARCH
san pham 1520356,SEARCH
san pham noi bat,FEATURED_PRODUCTS
sp noi bat,FEATURED_PRODUCTS
san pham hay,FEATURED_PRODUCTS
sp hay,FEATURED_PRODUCTS
san pham thu vi,FEATURED_PRODUCTS
sp thu vi,FEATURED_PRODUCTS
mat hang noi bat,FEATURED_PRODUCTS
cac san pham noi bat,FEATURED_PRODUCTS
goi y san pham,RECOMMENDATION
goi y,RECOMMENDATION
de xuat san pham,RECOMMENDATION
goi y sp,RECOMMENDATION
de xuat sp,RECOMMENDATION
san pham khuyen nghi,RECOMMENDATION
dai ly gan nhat,NEAREST_TERMINAL
cac dai ly gan nhat,NEAREST_TERMINAL
cua hang gan nhat,NEAREST_TERMINAL
cua hang gan day,NEAREST_TERMINAL
cua hang gan,NEAREST_TERMINAL
cua hang gan nhat o dau,NEAREST_TERMINAL
tim cua hang gan nhat,NEAREST_TERMINAL
tim dai ly gan nhat,NEAREST_TERMINAL
dai ly gan day,NEAREST_TERMINAL
dai ly gan toi,NEAREST_TERMINAL
tim cua hang,NEAREST_TERMINAL
cua hang,NEAREST_TERMINAL